"movie_title","director","produced_in","release_year","netflix_genre","description","movie_title-2","metacritic_genre","metascore","star_rating"
"The Phantom of the Opera","Joel Schumacher","United Kingdom, United States",2004,"Dramas, Music & Musicals, Romantic Movies","In 1870, a disfigured recluse roams beneath a Parisian opera house and takes under his wing a young soprano, with whom a love triangle develops.","The Phantom of the Opera","Drama,Thriller,Romance,Musical",40,"2 stars"
"Sandy Wexler","Steven Brill","United States",2017,"Comedies","When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.","Sandy Wexler","Comedy",40,"2 stars"
"Remember Me","Allen Coulter","United States",2010,"Dramas, Romantic Movies","Tyler's still feeling lost following the tragedy that's strained his relationship with his father when he meets Ally, a girl who understands his pain.","Remember Me","Drama,Romance",40,"2 stars"
"Mine","Fabio Guaglione, Fabio Resinaro","United States, Spain, Italy",2016,"Dramas, International Movies, Thrillers","When a Marine's mission goes awry, he must survive behind enemy lines – without stepping off a mine – among the harsh elements of a desert war zone.","Mine","Thriller,War",40,"2 stars"
"Rocky IV","Sylvester Stallone","United States",1985,"Dramas, Sports Movies","Rocky Balboa takes on the Cold War, coming out of retirement to battle a Soviet fighter who pulverized Rocky's friend and former rival, Apollo Creed.","Rocky IV","Drama,Sport",40,"2 stars"
"Vantage Point","Pete Travis","United States",2008,"Action & Adventure","Moments after he arrives in Spain for an antiterrorism summit, U.S. President Ashton is shot.","Vantage Point","Action,Drama,Thriller,Crime",40,"2 stars"
"Fireworks","Akiyuki Shinbo, Nobuyuki Takeuchi","Japan",2017,"Anime Features, Romantic Movies","Middle schooler Nazuna desperately wants to run away with her classmate Norimichi, who somehow turns back time on this fateful summer's day.","Fireworks","Sci-Fi,Drama,Fantasy,Romance,Animation,Family",40,"2 stars"
"Double Jeopardy","Bruce Beresford","United States, Germany, Canada",1999,"Thrillers","After being framed and serving time for her husband's supposed murder, Libby decides to kill her ""late"" husband for good.","Double Jeopardy","Drama,Mystery,Thriller,Crime",40,"2 stars"
"Act of Valor","Mike McCoy, Scott Waugh","United States",2012,"Action & Adventure","An elite squad of Navy SEALs is tasked with rescuing a kidnapped CIA agent from a lethal terrorist cell.","Act of Valor","Action,Adventure,Thriller",40,"2 stars"
"Evolution","Ivan Reitman","United States",2001,"Comedies, Sci-Fi & Fantasy","After two community college geology professors discover microscopic alien life-forms on a meteorite, the military and government become involved.","Evolution","Sci-Fi,Comedy",40,"2 stars"
"Jupiter Ascending","Lana Wachowski, Lilly Wachowski","United States, Australia",2015,"Action & Adventure, Sci-Fi & Fantasy","A young impoverished woman learns she's been predestined to change the fate of the universe after a genetically engineered hunter tracks her down.","Jupiter Ascending","Action,Adventure,Sci-Fi,Fantasy",40,"2 stars"
"Igor","Tony Leondis","United States, France",2008,"Children & Family Movies","Igor, the brilliant but deformed assistant to mad Dr. Glickenstein, dreams of winning the Evil Science Fair and the heart of village beauty Gretchen.","Igor","Fantasy,Comedy,Animation,Family",40,"2 stars"
"Phantom","Kabir Khan","India",2015,"Action & Adventure, International Movies","India's primary intelligence agency sends an enigmatic operative on a top-secret mission to avenge the 11/26 terrorist attack on Mumbai.","Phantom","Thriller",40,"2 stars"
"3 Days to Kill","McG","United States, France, Serbia",2014,"Action & Adventure","A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.","3 Days to Kill","Action,Drama,Thriller,Crime",40,"2 stars"
"Dark Places","Gilles Paquet-Brenner","United States, United Kingdom, France",2015,"Dramas, International Movies, Thrillers","Years after surviving a brutal crime as a child, Libby Day comes to believe that the brother she testified against for committing it may be innocent.","Dark Places","Drama,Mystery,Thriller",39,"2 stars"
"The Nutcracker and the Four Realms","Lasse Hallström, Joe Johnston","United States",2018,"Children & Family Movies","When her late mother gifts her a key, Clara embarks on a dreamlike journey full of fantasy and conflict in this retelling of the holiday classic.","The Nutcracker and the Four Realms","Adventure,Fantasy,Family",39,"2 stars"
"Moonwalkers","Antoine Bardou-Jacquet","France, Belgium",2015,"Action & Adventure, Comedies, International Movies","A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.","Moonwalkers","Comedy",39,"2 stars"
"Aftershock","Nicolás López","United States, Chile",2012,"Action & Adventure, Horror Movies","An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival.","Aftershock","Adventure,Thriller,Horror,Crime",39,"2 stars"
"Nights in Rodanthe","George C. Wolfe","United States, Australia",2008,"Dramas, Romantic Movies","When a hurricane hits a coastal North Carolina inn and strands the only guest, surgeon Paul Flanner, a young woman's life changes forever.","Nights in Rodanthe","Drama,Romance",39,"2 stars"
"Krystal","William H. Macy","United States",2017,"Comedies, Dramas","A kid with a heart condition falls for an ex-stripper with a lot of baggage and joins her Alcoholics Anonymous group to catch her attention.","Krystal","Drama,Comedy",39,"2 stars"
"First Kill","Steven C. Miller","United Kingdom, Canada, United States",2017,"Action & Adventure","A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime.","First Kill","Action,Thriller",39,"2 stars"
"Woodshock","Kate Mulleavy, Laura Mulleavy","United States",2017,"Dramas, Independent Movies, Thrillers","Shattered after her mother's death, a woman floats away from reality under the effect of a potent, hallucinatory drug as her life decays into chaos.","Woodshock","Drama,Thriller",39,"2 stars"
"The Goods: Live Hard, Sell Hard","Neal Brennan","United States",2009,"Comedies","Hired to rescue a flagging car dealership during a major sale, a fast-talking closer spends his days on the lot and his nights at local strip clubs.","The Goods: Live Hard, Sell Hard","Comedy",39,"2 stars"
"Don Verdean","Jared Hess","United States",2015,"Comedies","A questionable character working as a self-styled ""biblical archaeologist"" advances his cause by creating phony religious artifacts.","Don Verdean","Adventure,Drama,Comedy",39,"2 stars"
"Runaway Bride","Garry Marshall","United States",1999,"Comedies, Romantic Movies","Sparks fly when a newspaper columnist writes a one-sided, sexist story about a commitment-phobic bride who abandoned three men at the altar.","Runaway Bride","Comedy,Romance",39,"2 stars"
"The Dirt","Jeff Tremaine","United States",2019,"Comedies, Dramas, Music & Musicals","In this unflinching biopic based on Mötley Crüe's best-selling book, four LA misfits navigate the monster highs and savage lows of music superstardom.","The Dirt","Biography,Drama,Comedy,Music",39,"2 stars"
"Daddy Day Care","Steve Carr","United States",2003,"Children & Family Movies, Comedies","When a conscientious father loses his lucrative dot-com job and faces economic ruin, he joins two friends in opening a business called Daddy Day Care.","Daddy Day Care","Comedy,Family",39,"2 stars"
"P.S. I Love You","Richard LaGravenese","United States",2007,"Dramas, Romantic Movies","When she loses her beloved husband to a brain tumor, grieving widow Holly Kennedy learns that he left a series of letters behind to help her cope.","P.S. I Love You","Drama,Romance",39,"2 stars"
"The Green Hornet","Michel Gondry","United States",2011,"Action & Adventure, Comedies","A hard-partying heir dons a disguise to fight crime after hours. But with no talents or skills, he relies on his friend, a martial-arts genius.","The Green Hornet","Action,Thriller,Crime",39,"2 stars"
"National Treasure","Jon Turteltaub","United States",2004,"Action & Adventure, Children & Family Movies","Modern treasure hunters search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin.","National Treasure","Action,Adventure,Thriller",39,"2 stars"
"Clash of the Titans","Louis Leterrier","United States, United Kingdom, Australia",2010,"Action & Adventure, Sci-Fi & Fantasy","If he is to save the life of the beautiful Princess Andromeda, the valiant Perseus must battle a host of powerful, beastly enemies.","Clash of the Titans","Action,Adventure,Drama,Fantasy",39,"2 stars"
"The Runner","Austin Stark","United States",2015,"Dramas, Independent Movies","A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.","The Runner","Drama",39,"2 stars"
"Big Stone Gap","Adriana Trigiani","United States",2014,"Comedies, Romantic Movies","A single middle-aged woman who has lived her whole life in a small Virginia mining town uncovers a family secret that alters her profoundly.","Big Stone Gap","Comedy,Romance",39,"2 stars"
"Paul Blart: Mall Cop","Steve Carr","United States",2009,"Action & Adventure, Comedies","An overzealous security guard finds himself in over his head when he tries to thwart a criminal mastermind's plot to rob an entire shopping mall.","Paul Blart: Mall Cop","Action,Comedy,Crime,Family",39,"2 stars"
"Planet 51","Jorge Blanco","Spain, United Kingdom, United States",2009,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","After landing on a planet reminiscent of 1950s suburbia, a human astronaut tries to avoid capture, recover his spaceship and make it home safely.","Planet 51","Adventure,Sci-Fi,Fantasy,Comedy,Animation,Family",39,"2 stars"
"Angel Eyes","Luis Mandoki","United States",2001,"Dramas, Romantic Movies","When a violent assault leaves her vulnerable, a streetwise Chicago cop receives help from a haunted loner who's struggling with traumas of his own.","Angel Eyes","Drama,Thriller,Romance",39,"2 stars"
"Exit Wounds","Andrzej Bartkowiak","United States",2001,"Action & Adventure","Maverick cop Orin Boyd joins forces with an unlikely ally in gangster Latrell Walker to take down a group of dirty Detroit cops.","Exit Wounds","Action,Drama,Thriller,Comedy,Crime",39,"2 stars"
"Skin Trade","Ekachai Uekrongtham","Thailand, Canada, United States",2014,"Action & Adventure","A New Jersey detective whose family was killed by an international gangster teams up with a Bangkok cop on a quest to bring down a criminal empire.","Skin Trade","Action,Drama,Thriller,Crime",39,"2 stars"
"BASEketball","David Zucker","United States",1998,"Comedies, Sports Movies","When two slackers' made-up sport, BASEketball, becomes a national craze, they hope to cash in on the basketball/baseball hybrid's popularity.","BASEketball","Sport,Comedy",38,"2 stars"
"Michael","Ribhu Dasgupta","India",2011,"Dramas, Independent Movies, International Movies","After a dedicated cop accidentally kills a 12-year-old boy, he's fired, harassed and forced to take menial work as he tries to keep his life together.","Michael","Drama,Fantasy,Comedy,Romance",38,"2 stars"
"Yours, Mine and Ours","Raja Gosnell","United States",2005,"Children & Family Movies, Comedies","When a father of eight and a mother of 10 prepare to wed, the couple's children attempt to sabotage the union in this remake of a 1968 comedy.","Yours, Mine and Ours","Comedy,Romance,Family",38,"2 stars"
"Final Destination 2","David R. Ellis","United States, Canada",2003,"Horror Movies, Thrillers","On a road trip with friends, Kimberly has a premonition that saves everyone from a freak accident. More terrifying visions prompt her to seek help.","Final Destination 2","Thriller,Horror",38,"2 stars"
"An American Tail","Don Bluth","United States",1986,"Children & Family Movies","Fievel, a young Russian mouse, immigrates to America and must make his own way in the strange and sometimes perilous new world.","An American Tail","Drama,Comedy,Animation,Family,Musical",38,"2 stars"
